entryid,station,tempdew,pressure,wind,vis,auto,datetime,rmk,weather,skycover,needfix,obsdate
38,KPDK,22/21,2986,27004,8,0,91153,AO2 SLP097 60001 70007 T02170206 10228 20217 51003,NA,BKN016,0,20210909
39,KPDK,22/21,2986,30004,9,0,91053,AO2 CIG 010V023 SLP095 T02220211,NA,OVC018,0,20210909
40,KPDK,22/22,2985,28003,10,1,91013,AO2 T02170217,NA,FEW009;BKN026;BKN031,0,20210909
41,KPDK,22/22,2985,29004,10,1,91006,AO2 T02220217,NA,FEW011;BKN022;OVC031,0,20210909
42,KPDK,22/22,2986,28004,10,1,90953,AO2 SLP094 T02170217,NA,BKN011;OVC031,0,20210909
43,KPDK,22/22,2985,24004,10,1,90900,AO2 T02220217,NA,FEW008;OVC013,0,20210909
44,KPDK,22/22,2985,24004,10,1,90853,AO2 SLP090 60001 T02220217 56004,NA,SCT010;OVC015,0,20210909
45,KPDK,22/22,2985,25003,10,1,90840,AO2 T02220217,NA,SCT007;BKN012;OVC019,0,20210909
46,KPDK,22/22,2985,23004,10,1,90827,AO2 CIG 010V021 T02220217,NA,FEW007;BKN016;OVC110,0,20210909
47,KPDK,22/22,2986,24004,10,1,90817,AO2 T02220217,NA,FEW009;SCT017;BKN110,0,20210909
48,KPDK,22/22,2985,21005,10,1,90753,AO2 RAB0656E15 SLP091 P0001 T02170217,NA,FEW026;FEW110,0,20210909
49,KPDK,22/22,2985,21006,10,1,90750,AO2 RAB0656E15 P0001,NA,FEW007;SCT026,0,20210909
50,KPDK,22/22,2986,22006,10,1,90742,AO2 RAB0656E15 P0001 T02220217,NA,SCT007;BKN023,0,20210909
51,KPDK,22/22,2986,21006,8,1,90657,AO2 RAB56 P0000 T02220217,#NAME?,BKN006;BKN010;OVC016,0,20210909
52,KPDK,22/22,2986,22007,10,1,90653,AO2 RAE03 CIG 005V011 SLP094 P0000 T02220217,NA,BKN010;OVC016,0,20210909
53,KPDK,23/22,2988,22005,8,1,90553,AO2 RAB34 SLP099 P0006 60006 T02280217 10244 20228 58006,#NAME?,BKN011;BKN023;OVC037,0,20210909
54,KPDK,23/22,2988,22006,3,1,90544,AO2 RAB34 P0006 T02280217,RA;BR,BKN013;BKN023;OVC080,0,20210909
55,KPDK,1/2SM,2989,VRB04,2,1,90538,AO2 RAB34 P0004 T02280217,+RA;BR,SCT013;BKN019;OVC034,0,20210909
56,KPDK,23/22,2990,19005,10,1,90453,AO2 SLP108 T02280217 403000200,NA,OVC013,0,20210909
57,KPDK,23/22,2990,17003,10,1,90353,AO2 SLP107 T02330217,NA,OVC014,0,20210909
58,KPDK,23/22,2990,0,10,1,90349,AO2,NA,BKN014;OVC041,0,20210909
59,KPDK,23/22,2990,20003,10,1,90335,AO2 T02280217,NA,BKN015;BKN040,0,20210909
60,KPDK,23/21,2989,VRB05,10,1,90253,AO2 LTG DSNT NW SLP105 T02330211 58002,NA,CLR,0,20210909
61,KPDK,24/21,2990,24005,10,0,90153,AO2 SLP108 T02390211,NA,BKN050,0,20210909
62,KPDK,24/22,2990,22003,10,0,90053,AO2 LTG DSNT N SLP109 T02390222,NA,FEW021;SCT026,0,20210909
63,KPDK,24/22,2990,23004,10,0,90051,AO2 LTG DSNT N,NA,FEW021;SCT026,0,20210909
64,KPDK,24/22,2988,18004,10,0,90011,AO2 LTG DSNT N AND NW T02440222 $,NA,BKN019,1,20210909
65,KPDK,24/22,2987,15005,10,0,82353,AO2 LTG DSNT N AND NW SLP099 T02440222 10300 20244 50002 $,NA,FEW019,1,20210908
66,KPDK,26/22,2988,18006,10,0,82253,AO2 LTG DSNT N AND NE SLP103 T02560217 $,NA,FEW024,1,20210908
67,KPDK,27/23,2986,19008,10,0,82153,AO2 LTG DSNT N-E SLP096 T02670228,NA,CLR,0,20210908
68,KPDK,27/23,2985,18010,10,0,82132,AO2 LTG DSNT N-E T02670228,VCTS,FEW033,0,20210908
69,KPDK,28/22,2987,19008,10,0,82053,AO2 LTG DSNT NE SLP097 T02830222 56016,NA,BKN031,0,20210908
70,KPDK,29/22,2987,21010,10,0,81953,AO2 SLP098 T02890222,NA,FEW060,0,20210908
71,KPDK,28/22,2988,27005,10,0,81853,AO2 SLP101 T02830217,NA,SCT029;SCT036;BKN042,0,20210908
72,KPDK,28/23,2991,22006,9,0,81753,AO2 PRESFR SLP113 T02830228 10283 20206 58017,NA,FEW020,0,20210908
73,KPDK,28/23,2993,0,9,0,81736,AO2 LTG DSNT NW T02780228,NA,FEW018;SCT029;SCT035,0,20210908
74,KPDK,26/23,2995,20003,9,0,81653,AO2 SLP128 T02610228,NA,BKN018;OVC025,0,20210908
75,KPDK,26/23,2996,19005,10,0,81553,AO2 SLP128 T02610228,NA,BKN017,0,20210908
76,KPDK,26/23,2996,17004,10,0,81545,AO2 T02610228,NA,BKN015,0,20210908
77,KPDK,26/23,2996,0,10,0,81523,AO2 T02610228,NA,BKN013,0,20210908
78,KPDK,26/22,2996,0,10,0,81453,AO2 SLP129 T02560222 51002,NA,FEW011,0,20210908
79,KPDK,24/22,2996,22003,10,0,81403,AO2 T02440222,NA,SCT008,0,20210908
80,KPDK,24/22,2996,VRB04,10,0,81353,AO2 SLP129 T02440222,NA,BKN005,0,20210908
81,KPDK,24/22,2996,18003,10,0,81340,AO2 T02390217,NA,BKN005,0,20210908
82,KPDK,23/21,2996,0,8,0,81253,AO2 SLP131 T02280211,NA,FEW022,0,20210908
83,KPDK,21/21,2996,0,8,0,81159,AO2 T02060206,NA,CLR,0,20210908
84,KPDK,21/20,2996,0,3,0,81153,AO2 SLP130 60006 70074 T02060200 10211 20200 58002,BR,CLR,0,20210908
85,KPDK,21/20,2996,0,8,0,81053,AO2 SLP128 T02060200,NA,CLR,0,20210908
86,KPDK,21/21,2997,0,9,1,80953,AO2 SLP131 T02060206,NA,FEW080;OVC120,0,20210908
87,KPDK,21/20,2996,1005,10,1,80905,AO2 T02060200,NA,SCT007;SCT085;OVC120,0,20210908
88,KPDK,21/20,2996,2004,10,1,80853,AO2 CIG 004V008 SLP132 60006 T02060200 55006,NA,BKN007;BKN085;OVC110,0,20210908
89,KPDK,21/21,2997,VRB03,9,1,80832,AO2 T02110206,NA,FEW005;SCT110,0,20210908
90,KPDK,21/21,2994,36004,10,1,80753,AO2 SLP125 T02060206,NA,CLR,0,20210908
91,KPDK,21/21,2994,21003,10,1,80653,AO2 LTG DSNT SE-SW RAE36 SLP123 P0006 T02110206,NA,FEW090;SCT110,0,20210908
92,KPDK,21/20,2998,35004,4,1,80553,AO2 LTG DSNT NE-S TSE12 SLP135 P0011 60063 T02060200 10250 20206 50006,RA;BR,BKN070;OVC090,0,20210908
93,KPDK,21/20,2998,12004,4,1,80541,AO2 LTG DSNT NE-S TSE12 P0007 T02060200,RA;BR,SCT080;BKN090;OVC110,0,20210908
94,KPDK,21/20,2999,0,9,1,80518,AO2 LTG DSNT NE-S TSE12 P0002 T02060200,VCTS;-RA,FEW070;SCT095;BKN120,0,20210908
95,KPDK,21/20,3001,2005,5,1,80453,AO2 PK WND 32026/0404 WSHFT 0358 LTG DSNT NW-E RAB0357 SLP147 P0051 T02060200 403000206,-TSRA;BR,FEW060;BKN075;OVC110,0,20210908
96,KPDK,21/20,3002,1007,9,1,80430,AO2 PK WND 32026/0404 WSHFT 0358 LTG DSNT ALQDS RAB0357 P0048 T02060200,#NAME?,FEW010;SCT026;BKN110,0,20210908
97,KPDK,21/21,3000,34014G25,3,1,80417,AO2 PK WND 32026/0404 WSHFT 0358 LTG DSNT ALQDS RAB0357 P0047 T02110206,-TSRA;BR,SCT009;BKN025;OVC075,0,20210908
98,KPDK,1/4SM,3001,34014G25,4,1,80414,AO2 PK WND 32026/0404 WSHFT 0358 LTG DSNT ALQDS RAB0357 P0047 T02110206,TSRA;BR,SCT009;BKN016;OVC025,0,20210908
99,KPDK,3/4SM,3001,34018G26,4,1,80412,AO2 PK WND 32026/0404 WSHFT 0358 LTG DSNT ALQDS RAB0357 P0046 T02110206,+TSRA;BR,SCT007;BKN012;OVC027,0,20210908
100,KPDK,1/2SM,3003,33017G26,2,1,80404,AO2 PK WND 32026/0404 LTG DSNT ALQDS RAB0357 PRESRR P0026 T02280217,+TSRA;BR,FEW007;BKN012;OVC021,0,20210908
101,KPDK,24/23,3000,22003,9,1,80353,AO2 LTG DSNT ALQDS TSE00B01E26B33 PRESRR SLP143 T02390228,TS,BKN012;BKN017;OVC043,0,20210908
102,KPDK,24/23,2996,0,9,1,80338,AO2 LTG DSNT W-NE TSE00B01E26B33 T02390228,TS,BKN010;OVC045,0,20210908
103,KPDK,24/23,2995,4007,9,1,80332,AO2 LTG DSNT ALQDS TSE00B01E26 T02390228,VCTS,SCT010;BKN045;OVC100,0,20210908
104,KPDK,24/23,2994,0,8,1,80322,AO2 LTG DSNT ALQDS TSE00B01 T02390228,TS,FEW010;BKN045;OVC100,0,20210908
105,KPDK,24/23,2996,0,8,0,80253,AO2 LTG DSNT ALQDS TSB45 SLP132 60001 T02390228 50000,TS,BKN011;BKN043;OVC050,0,20210908
106,KPDK,24/23,2996,16003,8,0,80251,AO2 LTG DSNT ALQDS TSB45,TS,SCT011;BKN043;OVC050,0,20210908
107,KPDK,24/23,2997,VRB04,8,0,80205,AO2 LTG DSNT ALQDS T02440228,VCTS,BKN043,0,20210908
108,KPDK,24/23,2997,VRB03,8,0,80153,AO2 LTG DSNT ALQDS RAB11E20 SLP132 P0001 T02440228,NA,FEW014;BKN042,0,20210908
109,KPDK,25/23,2996,0,9,0,80053,AO2 LTG DSNT S SLP131 T02500228,NA,SCT041,0,20210908
110,KPDK,25/23,2995,0,9,0,72353,AO2 SLP126 T02500228 10300 20244 50000,NA,CLR,0,20210907
111,KPDK,27/23,2996,VRB03,10,0,72253,AO2 SLP127 T02670228,NA,FEW023,0,20210907
112,KPDK,28/22,2995,0,10,0,72153,AO2 LTG DSNT W AND NW SLP123 T02780222,NA,CLR,0,20210907
113,KPDK,26/23,2995,12004,9,0,72053,AO2 LTG DSNT W AND NW SLP126 T02610228 56017,NA,CLR,0,20210907
114,KPDK,26/23,2997,VRB03,8,0,71953,AO2 LTG DSNT ALQDS SLP133 T02560233,NA,FEW047;BKN090;OVC110,0,20210907
115,KPDK,26/23,2997,VRB03,9,0,71920,AO2 LTG DSNT E-SW T02610228,NA,FEW022;SCT027;BKN050,0,20210907
116,KPDK,27/23,2998,0,9,0,71910,AO2 LTG DSNT E-SW T02670228,NA,BKN024;BKN037;OVC095,0,20210907
117,KPDK,27/23,2998,VRB03,9,0,71901,AO2 LTG DSNT E-SW T02670228,VCTS,SCT024;BKN037;OVC095,0,20210907
118,KPDK,28/23,2998,0,9,0,71853,AO2 LTG DSNT SE-W SLP135 T02780228,NA,FEW022;SCT036;BKN080,0,20210907
119,KPDK,29/23,2999,2005,9,0,71826,AO2 LTG DSNT E AND SE T02890233,NA,FEW021;SCT029,0,20210907
120,KPDK,29/23,2999,VRB03,9,0,71810,AO2 LTG DSNT E AND SE T02890233,VCTS,SCT020;BKN029,0,20210907
121,KPDK,29/23,3000,0,10,0,71753,AO2 SLP141 60005 T02940228 10294 20222 58012,NA,SCT022;SCT080,0,20210907
122,KPDK,28/23,3002,VRB03,10,0,71653,AO2 SLP149 T02830228,NA,BKN017,0,20210907
123,KPDK,27/22,3003,0,10,0,71641,AO2 T02670222,NA,BKN017,0,20210907
124,KPDK,26/22,3004,0,9,0,71600,AO2 T02560222,NA,BKN012;BKN075,0,20210907
125,KPDK,26/23,3004,VRB03,3,0,71553,AO2 RAE01 SLP156 P0000 T02560228,NA,BKN007;BKN045,0,20210907
126,KPDK,23/23,3004,VRB03,3,0,71507,AO2 RAE01 P0000 T02330228,BR,BKN007;BKN045,0,20210907
127,KPDK,23/23,3004,VRB03,5,0,71500,AO2 P0000 T02330228,-RA;BR,FEW040;BKN060;BKN075,0,20210907
128,KPDK,1/2SM,3004,VRB03,2,0,71453,AO2 RAE00B22 SLP156 P0005 60005 T02280222 50004,-RA;BR,BKN007;BKN049;OVC070,0,20210907
129,KPDK,23/22,3003,VRB03,2,0,71433,AO2 RAE00B22 P0002 T02280222,-RA;BR,BKN007;BKN045;OVC070,0,20210907
130,KPDK,23/22,3004,0,4,0,71416,AO2 RAE00 P0000 T02280217,BR,OVC007,0,20210907
131,KPDK,23/22,3004,0,5,0,71401,AO2 LTG DSNT S RAE00 P0000 T02280217,VCTS;BR,OVC007,0,20210907
132,KPDK,23/22,3004,VRB03,4,0,71353,AO2 LTG DSNT S RAB46 CIG 005V011 SLP157 P0000 T02280217,-RA;BR,OVC007,0,20210907
133,KPDK,22/22,3003,VRB03,4,0,71253,AO2 CIG 005V009 SLP154 T02220217,BR,OVC006,0,20210907
134,KPDK,22/22,3003,VRB03,3,0,71215,AO2 CIG 004V008 T02220217,BR,OVC005,0,20210907
135,KPDK,1/2SM,3002,9003,2,0,71153,AO2 RAB02E13 SLP152 P0002 60002 70034 T02220217 10222 20211 53016,BR,OVC004,0,20210907
136,KPDK,22/22,3000,VRB04,4,0,71053,AO2 SLP146 T02170217,BR,OVC004,0,20210907
137,KPDK,22/22,2999,0,4,1,70953,AO2 SLP137 T02170217,BR,OVC003,0,20210907
138,KPDK,22/22,2998,0,5,1,70922,AO2 T02170217,BR,BKN004;OVC100,0,20210907
139,KPDK,22/22,2997,0,3,1,70853,AO2 SLP133 T02170217 53004,BR,BKN002;OVC100,0,20210907
140,KPDK,22/22,2997,0,2,1,70846,AO2 T02170217,BR,BKN002;BKN100,0,20210907
141,KPDK,1/2SM,2997,0,2,1,70839,AO2 T02170211,BR,BKN003;BKN100,0,20210907
142,KPDK,21/21,2997,0,3,1,70828,AO2 T02110211,BR,FEW003;SCT100,0,20210907
143,KPDK,1/2SM,2997,0,2,1,70811,AO2 T02110211,BR,FEW048;SCT100,0,20210907
144,KPDK,21/21,2997,0,3,1,70753,AO2 SLP131 T02110211,BR,SCT100,0,20210907
145,KPDK,22/22,2996,0,5,1,70653,AO2 SLP128 T02170217,BR,FEW100,0,20210907
146,KPDK,22/21,2996,0,4,1,70633,AO2 T02170211,BR,FEW100,0,20210907
147,KPDK,22/21,2996,0,2,1,70623,AO2 VIS 1V5 T02170211,BR,CLR,0,20210907
148,KPDK,22/21,2996,0,3,1,70553,AO2 SLP128 T02170211 10239 20211 58002,BR,CLR,0,20210907
149,KPDK,22/22,2997,0,6,1,70453,AO2 SLP133 T02170217 403000211,BR,CLR,0,20210907
150,KPDK,22/22,2997,0,6,1,70353,AO2 SLP131 T02220217,BR,CLR,0,20210907
151,KPDK,1/2SM,2997,0,2,1,70345,AO2 T02280222,BR,CLR,0,20210907
152,KPDK,23/22,2996,17003,6,1,70253,AO2 SLP131 T02280222 53004,BR,CLR,0,20210907
153,KPDK,23/22,2995,33003,9,0,70153,AO2 SLP127 T02280222,NA,CLR,0,20210907
154,KPDK,23/23,2996,0,7,0,70053,AO2 SLP129 T02330228,NA,OVC070,0,20210907
155,KPDK,23/23,2995,0,10,0,62353,AO2 LTG DSNT E RAE18 SLP128 P0005 60032 T02330228 10300 20228 51010,NA,SCT031;BKN080;OVC110,0,20210906
156,KPDK,23/22,2994,0,10,0,62307,AO2 P0005 T02330217,#NAME?,BKN030;OVC060,0,20210906
157,KPDK,23/22,2994,16006,1,0,62300,AO2 LTG DSNT E P0004 T02330217,-RA;BR,FEW025;BKN032;OVC080,0,20210906
158,KPDK,24/22,2994,18006,10,0,62253,AO2 LTG DSNT E RAB04 SLP124 P0027 T02390222,#NAME?,FEW027;BKN060;OVC080,0,20210906
159,KPDK,24/23,2994,18006,10,0,62224,AO2 RAB04 P0013 T02440228,#NAME?,FEW034;BKN055;OVC085,0,20210906
160,KPDK,3/4SM,2994,23006,4,0,62211,AO2 RAB04 P0007 T02560222,#NAME?,FEW033;BKN050;OVC090,0,20210906
161,KPDK,27/21,2993,24003,10,0,62153,AO2 SLP118 T02720211,NA,FEW029;SCT060;OVC090,0,20210906
162,KPDK,28/21,2992,33005,10,0,62053,AO2 LTG DSNT S AND SW SLP113 T02780211 57016,NA,SCT100,0,20210906
163,KPDK,29/21,2993,30008,10,0,61953,AO2 SLP117 T02890206,NA,FEW035;BKN047,0,20210906
164,KPDK,28/21,2995,34009,10,0,61853,AO2 SLP125 T02830211,NA,BKN030;OVC100,0,20210906
165,KPDK,28/21,2996,31004,10,0,61821,AO2 T02830211,NA,SCT029;BKN095,0,20210906
166,KPDK,29/22,2996,35009,10,0,61813,AO2 T02940217,NA,BKN029;BKN037;OVC095,0,20210906
167,KPDK,28/21,2997,32005,10,0,61753,AO2 SLP129 T02830211 10294 20228 58011,NA,SCT028;BKN037;OVC095,0,20210906
168,KPDK,28/22,2998,34005,10,0,61704,AO2 T02830217,NA,FEW044;SCT075;BKN110,0,20210906
169,KPDK,27/22,2999,31007,9,0,61653,AO2 SLP138 T02720217,NA,BKN018;BKN080,0,20210906
170,KPDK,27/22,3000,33007,9,0,61628,AO2 T02670217,NA,BKN018;BKN080,0,20210906
171,KPDK,28/22,3000,24006,10,0,61553,AO2 SLP140 T02780222,NA,BKN018,0,20210906
172,KPDK,26/22,2999,28004,10,0,61511,AO2 T02610222,NA,SCT014;BKN020,0,20210906
173,KPDK,25/22,3000,29003,9,0,61453,AO2 SLP144 T02500217 51009,NA,OVC014,0,20210906
174,KPDK,25/22,3000,27004,10,0,61425,AO2 T02500217,NA,BKN012;BKN019;OVC075,0,20210906
175,KPDK,25/22,3000,30003,10,0,61421,AO2 T02500217,NA,SCT012;SCT019;OVC075,0,20210906
176,KPDK,24/22,2999,27005,10,0,61353,AO2 SLP141 T02390217,NA,FEW010;BKN016;OVC090,0,20210906
177,KPDK,23/22,2998,22004,9,0,61253,AO2 SLP139 T02330217,NA,OVC016,0,20210906
178,KPDK,23/22,2999,24005,9,0,61233,AO2 T02280217,NA,BKN018;OVC065,0,20210906
179,KPDK,23/21,2997,19003,9,0,61153,AO2 SLP133 T02280211 10239 20222 53008,NA,FEW015;BKN032;OVC070,0,20210906
180,KPDK,23/21,2995,0,10,0,61053,AO2 SLP124 T02280211,NA,BKN075;OVC100,0,20210906
181,KPDK,22/21,2995,26004,10,1,60953,AO2 SLP123 T02220211,NA,BKN100;OVC120,0,20210906
182,KPDK,23/21,2995,26003,10,1,60853,AO2 SLP122 T02280206 55008,NA,FEW037;SCT065;BKN110,0,20210906
183,KPDK,23/21,2995,22007,10,1,60753,AO2 SLP121 T02280206,NA,FEW090,0,20210906
184,KPDK,23/21,2996,22006,10,1,60653,AO2 SLP127 T02330206,NA,FEW065;OVC090,0,20210906
185,KPDK,23/21,2997,23006,10,1,60553,AO2 SLP131 T02330206 10250 20211 50007,NA,SCT043,0,20210906
186,KPDK,21/20,2998,0,10,1,60453,AO2 SLP134 T02110200 403060144,NA,SCT044,0,20210906
187,KPDK,22/19,2996,18004,10,1,60353,AO2 SLP131 T02170194,NA,CLR,0,20210906
188,KPDK,22/19,2995,16003,10,0,60253,AO2 SLP128 T02170194 51011,NA,CLR,0,20210906
189,KPDK,23/20,2995,16004,10,0,60153,AO2 SLP126 T02280200,NA,CLR,0,20210906
190,KPDK,23/19,2993,0,10,0,60053,AO2 SLP123 T02330194,NA,CLR,0,20210906
191,KPDK,26/19,2992,22005,10,0,52353,AO2 SLP119 T02560189 10306 20256 56009,NA,CLR,0,20210905
192,KPDK,28/18,2992,22004,10,0,52253,AO2 SLP120 T02830178,NA,CLR,0,20210905
193,KPDK,30/17,2994,24005,10,0,52153,AO2 SLP123 T03000172,NA,CLR,0,20210905
194,KATL,27/12,3008,0,10,0,102052,AO2 SLP178 T02670122 56012,NA,SCT065;SCT250,0,20210910
195,KATL,28/13,3009,VRB03,10,0,101952,AO2 SLP180 T02780133,NA,SCT065;SCT200,0,20210910
196,KATL,27/13,3010,23004,10,0,101852,AO2 SLP185 T02670128,NA,SCT065;SCT250,0,20210910
197,KATL,27/13,3012,13006,10,0,101752,AO2 SLP190 T02670128 10267 20178 58005,NA,FEW060;SCT250,0,20210910
198,KATL,26/13,3012,12007,10,0,101652,AO2 SLP192 T02560128,NA,SCT250,0,20210910
199,KATL,25/13,3013,11008,10,0,101552,AO2 SLP195 T02500128,NA,FEW080;SCT250,0,20210910
200,KATL,24/13,3013,9010,10,0,101452,AO2 SLP195 T02390128 51015,NA,FEW080;FEW110;SCT250,0,20210910
201,KATL,23/12,3012,6008,10,0,101352,AO2 SLP191 ACC DSNT SW T02280122,NA,FEW075;FEW100;SCT250,0,20210910
202,KATL,22/12,3011,4006,10,0,101252,AO2 SLP188 ACC DSNT S-SW T02170122,NA,FEW070;FEW100;FEW250,0,20210910
203,KATL,18/13,3009,35003,10,0,101152,AO2 SLP181 ACC S T01780128 10183 20161 53023,NA,FEW100;FEW150;FEW250,0,20210910
204,KATL,17/12,3006,33004,10,0,101052,AO2 SLP173 T01670122,NA,FEW150;FEW250,0,20210910
205,KATL,17/13,3004,33005,10,0,100952,AO2 SLP163 T01670128,NA,FEW250,0,20210910
206,KATL,17/13,3002,34007,10,0,100852,AO2 SLP157 T01720133 55001,NA,FEW250,0,20210910
207,KATL,17/13,3001,33006,10,0,100752,AO2 SLP155 T01720133,NA,FEW250,0,20210910
208,KATL,18/13,3001,33005,10,0,100652,AO2 SLP155 T01780133,NA,SCT250,0,20210910
209,KATL,18/13,3002,33004,10,0,100552,AO2 SLP158 T01830133 10250 20183 51007,NA,SCT250,0,20210910
210,KATL,19/13,3002,33005,10,0,100452,AO2 SLP155 T01890133 402890189,NA,SCT250,0,20210910
211,KATL,19/13,3002,33007,10,0,100352,AO2 SLP156 T01940133,NA,FEW200;SCT250,0,20210910
212,KATL,21/13,3000,32007,10,0,100252,AO2 SLP151 T02110128 53019,NA,FEW200;SCT250,0,20210910
213,KATL,23/12,2999,34007,10,0,100152,AO2 SLP146 T02280122,NA,FEW200;BKN250,0,20210910
214,KATL,23/12,2996,33008,10,0,100052,AO2 SLP137 T02330117,NA,FEW200;BKN250,0,20210910
215,KATL,25/11,2995,34008,10,0,92352,AO2 SLP131 T02500111 10289 20250 53011,NA,FEW070;SCT200;BKN250,0,20210909
216,KATL,27/11,2993,34011,10,0,92252,AO2 PK WND 34027/2220 SLP126 T02670111,NA,FEW070;SCT200;BKN250,0,20210909
217,KATL,27/10,2991,34012,10,0,92152,AO2 SLP119 T02720100,NA,FEW070;SCT200;BKN250,0,20210909
218,KATL,28/11,2991,32011G22,10,0,92052,AO2 SLP119 T02780106 58002,NA,FEW070;SCT200;SCT250,0,20210909
219,KATL,28/11,2991,33013G22,10,0,91952,AO2 SLP119 T02830111,NA,FEW065;SCT200;SCT250,0,20210909
220,KATL,28/13,2992,31013G22,10,0,91852,AO2 SLP120 T02780128,NA,FEW060;SCT200;SCT250,0,20210909
221,KATL,27/11,2992,32016G22,10,0,91752,AO2 SLP120 T02720111 10278 20222 51001,NA,FEW055;SCT200;SCT250,0,20210909
222,KATL,27/13,2992,32016G21,10,0,91652,AO2 SLP120 T02720133,NA,FEW044;SCT200;SCT250,0,20210909
223,KATL,26/18,2992,31012G21,10,0,91552,AO2 SLP121 T02610178,NA,FEW038;SCT250,0,20210909
224,KATL,24/18,2991,33010,10,0,91452,AO2 SLP120 T02440183 51015,NA,FEW026;FEW100;FEW250,0,20210909
225,KATL,23/18,2990,31010,10,0,91352,AO2 SLP114 ACC E-S W-NW T02280183,NA,FEW016;SCT095;SCT250,0,20210909
226,KATL,22/19,2989,31013,10,0,91252,AO2 SLP113 T02220189,NA,FEW010;SCT013;SCT050;BKN250,0,20210909
227,KATL,22/20,2988,29007,10,0,91212,AO2 T02220200,NA,FEW008;SCT015;SCT050;BKN250,0,20210909
